% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
16907	8	1	1	0	28	2196	0	1	0
16908	8	1	1	0	28	2196	0	1	0
16909	8	1	1	0	28	2196	0	1	0
16911	8	1	1	0	28	2196	0	1	0
16912	8	1	1	0	28	2196	0	1	0
16914	8	1	1	0	28	2196	0	1	0
16915	8	1	1	0	28	2196	0	1	0
16918	8	1	1	0	28	2196	0	1	0
16919	8	1	1	0	28	2196	0	1	0
16920	8	1	1	0	28	2196	0	1	0
16921	8	1	1	0	28	2196	0	1	0
16923	8	1	1	0	28	2196	0	1	0
16924	8	1	1	0	28	2196	0	1	0
16926	8	1	1	0	28	2196	0	1	0
16927	8	1	1	0	28	2196	0	1	0
16930	8	1	1	0	28	2196	0	1	0
16931	8	1	1	0	28	2196	0	1	0
16932	8	1	1	0	28	2196	0	1	0
16933	8	1	1	0	28	2196	0	1	0
16935	8	1	1	0	28	2196	0	1	0
16936	8	1	1	0	28	2196	0	1	0
16938	8	1	1	0	28	2196	0	1	0
16939	8	1	1	0	28	2196	0	1	0
16942	8	1	1	0	28	2196	0	1	0
16943	8	1	1	0	28	2196	0	1	0
16944	8	1	1	0	28	2196	0	1	0
16945	8	1	1	0	28	2196	0	1	0
16947	8	1	1	0	28	2196	0	1	0
16948	8	1	1	0	28	2196	0	1	0
16950	8	1	1	0	28	2196	0	1	0
16951	8	1	1	0	28	2196	0	1	0
16954	8	1	1	0	28	2196	0	1	0
16955	8	1	1	0	28	2196	0	1	0
16956	8	1	1	0	28	2196	0	1	0
16957	8	1	1	0	28	2196	0	1	0
16959	8	1	1	0	28	2196	0	1	0
16960	8	1	1	0	28	2196	0	1	0
16962	8	1	1	0	28	2196	0	1	0
16963	8	1	1	0	28	2196	0	1	0
16966	8	1	1	0	28	2196	0	1	0
16967	8	1	1	0	28	2196	0	1	0
16968	8	1	1	0	28	2196	0	1	0
16969	8	1	1	0	28	2196	0	1	0
16971	8	1	1	0	28	2196	0	1	0
16972	8	1	1	0	28	2196	0	1	0
16974	8	1	1	0	28	2196	0	1	0
16975	8	1	1	0	28	2196	0	1	0
16978	8	1	1	0	28	2196	0	1	0
16979	8	1	1	0	28	2196	0	1	0
16980	8	1	1	0	28	2196	0	1	0
16981	8	1	1	0	28	2196	0	1	0
16983	8	1	1	0	28	2196	0	1	0
16984	8	1	1	0	28	2196	0	1	0
16986	8	1	1	0	28	2196	0	1	0
16987	8	1	1	0	28	2196	0	1	0
16990	8	1	1	0	28	2196	0	1	0
16991	8	1	1	0	28	2196	0	1	0
16992	8	1	1	0	28	2196	0	1	0
16993	8	1	1	0	28	2196	0	1	0
16995	8	1	1	0	28	2196	0	1	0
16996	8	1	1	0	28	2196	0	1	0
16998	8	1	1	0	28	2196	0	1	0
16999	8	1	1	0	28	2196	0	1	0
17002	8	1	1	0	28	2196	0	1	0
17003	8	1	1	0	28	2196	0	1	0
17004	8	1	1	0	28	2196	0	1	0
17005	8	1	1	0	28	2196	0	1	0
17007	8	1	1	0	28	2196	0	1	0
17008	8	1	1	0	28	2196	0	1	0
17010	8	1	1	0	28	2196	0	1	0
17011	8	1	1	0	28	2196	0	1	0
17014	8	1	1	0	28	2196	0	1	0
17015	8	1	1	0	28	2196	0	1	0
17016	8	1	1	0	28	2196	0	1	0
17017	8	1	1	0	28	2196	0	1	0
17019	8	1	1	0	28	2196	0	1	0
17020	8	1	1	0	28	2196	0	1	0
17022	8	1	1	0	28	2196	0	1	0
17023	8	1	1	0	28	2196	0	1	0
17026	8	1	1	0	28	2196	0	1	0
17027	8	1	1	0	28	2196	0	1	0
17028	8	1	1	0	28	2196	0	1	0
17029	8	1	1	0	28	2196	0	1	0
17031	8	1	1	0	28	2196	0	1	0
17051	8	1	1	0	28	2196	0	1	0
17052	8	1	1	0	28	2196	0	1	0
17053	8	1	1	0	28	2196	0	1	0
17054	8	1	1	0	28	2196	0	1	0
17055	8	1	1	0	28	2196	0	1	0
