% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
2.113	1	1	212	4	1	16	967	0
2.114	1	1	212	5	1	18	1143	0
2.115	1	1	212	6	1	18	1143	0
2.116	1	1	212	7	1	20	1335	0
2.117	1	1	212	8	1	22	1431	0
2.118	1	1	212	9	1	22	1431	0
2.119	1	1	212	10	1	22	1431	0
2.12	1	1	213	1	1	24	1692	0
2.121	1	1	213	2	1	24	1692	0
2.122	1	1	213	3	1	26	1908	0
2.123	1	1	213	4	1	26	1908	0
2.124	1	1	213	5	1	28	2292	0
2.125	1	1	213	6	1	28	2292	0
2.126	1	1	213	7	1	28	2292	0
2.127	1	1	213	8	1	28	2292	0
2.129	1	1	213	10	1	28	2292	0
2.13	1	1	214	1	1	28	2292	0
2.131	1	1	214	2	1	28	2292	0
2.132	1	1	214	3	1	28	2292	0
2.133	1	1	214	4	1	28	2292	0
2.134	1	1	214	5	1	28	2292	0
2.135	1	1	214	6	1	28	2292	0
2.136	1	1	214	7	1	28	2292	0
2.137	1	1	214	8	1	28	2292	0
2.139	1	1	214	10	1	28	2292	0
2.14	1	1	215	1	1	28	2292	0
2.141	1	1	215	2	1	28	2292	0
2.142	1	1	215	3	1	28	2292	0
2.143	1	1	215	4	1	28	2292	0
2.144	1	1	215	5	1	28	2292	0
2.145	1	1	215	6	1	28	2292	0
2.146	1	1	215	7	1	28	2292	0
2.147	1	1	215	8	1	28	2292	0
2.148	1	1	215	9	1	28	2292	0
2.149	1	1	215	10	1	28	2292	0
2.15	1	1	216	1	1	28	2292	0
2.151	1	1	216	2	1	28	2292	0
2.152	1	1	216	3	1	28	2292	0
2.153	1	1	216	4	1	28	2292	0
2.154	1	1	216	5	1	28	2292	0
2.155	1	1	216	6	1	26	1908	0
2.156	1	1	216	7	1	26	1908	0
2.157	1	1	216	8	1	26	1908	0
2.159	1	1	216	10	1	26	1908	0
2.16	1	1	217	1	1	24	1692	0
2.161	1	1	217	2	1	24	1692	0
2.162	1	1	217	3	1	24	1692	0
2.163	1	1	217	4	1	24	1692	0
2.164	1	1	217	5	1	24	1692	0
2.165	1	1	217	6	1	24	1692	0
2.166	1	1	217	7	1	24	1692	0
2.167	1	1	217	8	1	24	1692	0
2.168	1	1	217	9	1	24	1692	0
2.169	1	1	217	10	1	24	1692	0
2.17	1	1	218	1	1	24	1692	0
2.171	1	1	218	2	1	24	1692	0
2.172	1	1	218	3	1	24	1692	0
2.173	1	1	218	4	1	24	1692	0
2.174	1	1	218	5	1	24	1692	0
2.175	1	1	218	6	1	24	1692	0
2.176	1	1	218	7	1	24	1692	0
2.177	1	1	218	8	1	26	1908	0
2.179	1	1	218	10	1	26	1908	0
2.18	1	1	219	1	1	28	2292	0
2.181	1	1	219	2	1	28	2292	0
2.182	1	1	219	3	1	28	2292	0
2.183	1	1	219	4	1	28	2292	0
2.184	1	1	219	5	1	28	2292	0
2.185	1	1	219	6	1	28	2292	0
2.186	1	1	219	7	1	28	2292	0
2.187	1	1	219	8	1	28	2292	0
2.189	1	1	219	10	1	28	2292	0
2.19	1	1	220	1	1	28	2292	0
2.191	1	1	220	2	1	28	2292	0
2.192	1	1	220	3	1	28	2292	0
2.193	1	1	220	4	1	28	2292	0
2.194	1	1	220	5	1	28	2292	0
2.195	1	1	220	6	1	28	2292	0
2.196	1	1	220	7	1	26	1908	0
2.197	1	1	220	8	1	26	1908	0
2.199	1	1	220	10	1	24	1692	0
2.2	1	1	221	1	1	22	1431	0
2.201	1	1	221	2	1	22	1431	0
2.202	1	1	221	3	1	20	1335	0
2.203	1	1	221	4	1	18	1143	0
2.204	1	1	221	5	1	16	967	0
2.205	1	1	221	6	1	16	967	0
2.206	1	1	221	7	1	12	621	0
2.207	1	1	221	8	1	8	437	0
2.208	1	1	221	9	1	8	437	0
2.21	1	1	222	1	1	0	85	0
2.211	1	1	222	2	1	6	325	0
2.212	1	1	222	3	1	8	437	0
2.213	1	1	222	4	1	12	621	0
2.214	1	1	222	5	1	12	621	0
2.215	1	1	222	6	1	14	807	0
2.216	1	1	222	7	1	14	807	0
2.217	1	1	222	8	1	14	807	0
2.218	1	1	222	9	1	14	807	0
2.219	1	1	222	10	1	14	807	0
2.22	1	1	223	1	1	14	807	0
2.221	1	1	223	2	1	12	621	0
2.222	1	1	223	3	1	10	549	0
2.223	1	1	223	4	1	8	437	0
2.224	1	1	223	5	1	8	437	0
2.225	1	1	223	6	1	10	549	0
2.226	1	1	223	7	1	6	325	0
2.227	1	1	223	8	1	2	137	0
2.228	1	1	223	9	1	2	137	0
2.229	1	1	223	10	1	6	325	0
2.23	1	1	224	1	1	8	437	0
2.231	1	1	224	2	1	12	621	0
2.232	1	1	224	3	1	14	807	0
2.233	1	1	224	4	1	16	967	0
2.234	1	1	224	5	1	18	1143	0
2.235	1	1	224	6	1	20	1335	0
2.236	1	1	224	7	1	20	1335	0
2.237	1	1	224	8	1	20	1335	0
2.238	1	1	224	9	1	20	1335	0
2.239	1	1	224	10	1	22	1431	0
2.24	1	1	225	1	1	22	1431	0
2.241	1	1	225	2	1	24	1692	0
2.242	1	1	225	3	1	24	1692	0
2.243	1	1	225	4	1	24	1692	0
2.244	1	1	225	5	1	24	1692	0
2.245	1	1	225	6	1	26	1908	0
