% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
7.721	4	1	1	2482.97	0
7.761	4	1	1	4802.03	0
7.801	4	1	1	826.84	0
7.841	4	1	1	3086.39	0
7.881	4	1	1	3195.11	0
7.921	4	1	1	2493.09	0
7.961	4	1	1	6050.06	0
8.001	4	1	1	538.741	0
8.041	4	1	1	1415.24	0
8.081	4	1	1	1667.72	0
8.121	4	1	1	640.6	0
8.161	4	1	1	756.91	0
8.201	4	1	1	816.91	0
8.241	4	1	1	376.161	0
8.281	4	1	1	292.055	0
8.321	4	1	1	892.877	0
8.361	4	1	1	545.506	0
8.401	4	1	1	663.088	0
8.441	4	1	1	1083.74	0
8.481	4	1	1	429.973	0
8.521	4	1	1	295.263	0
8.561	4	1	1	285.517	0
8.601	4	1	1	424.201	0
8.641	4	1	1	3436.78	0
8.681	4	1	1	4189.48	0
8.721	4	1	1	704.205	0
8.761	4	1	1	1565.28	0
8.801	4	1	1	2278.25	0
8.841	4	1	1	808.225	0
8.881	4	1	1	1851.92	0
8.921	4	1	1	1964.53	0
8.961	4	1	1	601.108	0
9.001	4	1	1	1267.53	0
9.041	4	1	1	388.258	0
9.081	4	1	1	321.01	0
9.121	4	1	1	990.554	0
9.161	4	1	1	226.73	0
9.201	4	1	1	337.976	0
9.241	4	1	1	981.619	0
9.281	4	1	1	783.442	0
9.321	4	1	1	353.338	0
9.361	4	1	1	612.682	0
9.401	4	1	1	961.131	0
9.441	4	1	1	202.209	0
9.481	5	1	1	1034.81	0
9.521	5	1	1	2630.3	0
9.561	5	1	1	2241.63	0
9.601	5	1	1	2082.16	0
9.641	5	1	1	949.759	0
9.681	5	1	1	815.847	0
9.721	5	1	1	1424.89	0
9.761	5	1	1	493.899	0
9.801	5	1	1	244.023	0
9.841	5	1	1	131.881	0
9.881	5	1	1	136.99	0
9.921	5	1	1	159.517	0
9.961	5	1	1	378.638	0
10.001	5	1	1	3520.34	0
10.041	5	1	1	2046.42	0
10.081	5	1	1	561.36	0
10.121	5	1	1	1991.79	0
10.161	5	1	1	6116.88	0
10.201	5	1	1	6018.48	0
10.241	5	1	1	900.247	0
10.281	5	1	1	2293.31	0
10.321	5	1	1	5558.32	0
10.361	5	1	1	3009.08	0
10.401	5	1	1	1851.57	0
10.441	5	1	1	1255.37	0
10.481	5	1	1	197.115	0
10.521	5	1	1	1046.6	0
10.561	5	1	1	563.316	0
10.601	5	1	1	216.359	0
10.641	5	1	1	178.114	0
10.681	5	1	1	1697.8	0
10.721	5	1	1	4164.02	0
10.761	5	1	1	1698.18	0
10.801	5	1	1	601.678	0
10.841	5	1	1	2205.94	0
10.881	5	1	1	1067.92	0
10.921	5	1	1	1084.94	0
10.961	5	1	1	1985.47	0
11.001	5	1	1	777.104	0
11.041	5	1	1	2558.07	0
11.081	5	1	1	1064.91	0
11.121	5	1	1	808.058	0
11.161	5	1	1	1972	0
11.201	5	1	1	841.342	0
11.241	5	1	1	2620.59	0
11.281	5	1	1	1696.88	0
11.321	5	1	1	238.686	0
11.361	5	1	1	1136.07	0
11.401	5	1	1	881.718	0
11.441	5	1	1	831.975	0
11.481	6	1	1	1901.23	0
11.521	6	1	1	495.704	0
11.561	6	1	1	4477.65	0
11.601	6	1	1	6775.17	0
11.641	6	1	1	3047.16	0
11.681	6	1	1	2444.76	0
11.721	6	1	1	1059.43	0
11.761	6	1	1	594.58	0
11.801	6	1	1	2465.09	0
11.841	6	1	1	792.5	0
11.881	6	1	1	1581.23	0
11.921	6	1	1	1905.18	0
11.961	6	1	1	380.536	0
12.001	6	1	1	1133.55	0
12.041	6	1	1	1599.25	0
12.081	6	1	1	750.192	0
12.121	6	1	1	2287.46	0
12.161	6	1	1	1447.97	0
12.201	6	1	1	231.972	0
12.241	6	1	1	886.369	0
12.281	6	1	1	231.662	0
12.321	6	1	1	489.083	0
12.361	6	1	1	604.316	0
12.401	6	1	1	2022.6	0
12.441	6	1	1	1398.01	0
12.481	6	1	1	2027.58	0
12.521	6	1	1	286.099	0
12.561	6	1	1	552.348	0
12.601	6	1	1	761.163	0
12.641	6	1	1	456.74	0
12.681	7	1	1	2382.65	0
12.721	7	1	1	280.651	0
12.761	7	1	1	1298.75	0
12.801	7	1	1	5371.08	0
12.841	7	1	1	1143.12	0
12.881	7	1	1	3555.1	0
12.921	7	1	1	10407.5	0
12.961	7	1	1	4575.1	0
13.001	7	1	1	1232.68	0
13.041	7	1	1	135.104	0
13.081	7	1	1	2695.33	0
13.121	7	1	1	3493.47	0
13.161	7	1	1	1078.72	0
13.201	7	1	1	369.911	0
13.241	7	1	1	561.341	0
13.281	7	1	1	215.303	0
13.321	7	1	1	960.792	0
13.361	7	1	1	1097.8	0
13.401	7	1	1	954.578	0
13.441	7	1	1	4734.71	0
13.481	7	1	1	7074.77	0
13.521	7	1	1	378.939	0
13.561	7	1	1	959.326	0
13.601	7	1	1	600.345	0
13.641	7	1	1	414.842	0
13.681	7	1	1	667.505	0
13.721	7	1	1	1785.86	0
13.761	7	1	1	2650.01	0
13.801	7	1	1	1162.37	0
13.841	7	1	1	7547.29	0
13.881	7	1	1	9902.79	0
13.921	7	1	1	2793.8	0
13.961	7	1	1	1025.42	0
14.001	7	1	1	543.701	0
14.041	7	1	1	626.717	0
14.081	8	1	1	118.951	0
14.121	8	1	1	481.312	0
14.161	8	1	1	410.385	0
14.201	8	1	1	617.342	0
14.241	8	1	1	1174.45	0
14.281	8	1	1	609.396	0
14.321	8	1	1	1790.99	0
14.361	8	1	1	1858.15	0
14.401	8	1	1	727.215	0
14.441	8	1	1	977.343	0
14.481	8	1	1	994.86	0
14.521	8	1	1	1841.51	0
14.561	8	1	1	51.2908	0
14.601	8	1	1	388.13	0
14.641	8	1	1	84.4228	0
14.681	8	1	1	786.86	0
14.721	8	1	1	836.708	0
14.761	8	1	1	569.275	0
14.801	8	1	1	3790.83	0
14.841	8	1	1	3408.66	0
14.881	8	1	1	854.718	0
14.921	8	1	1	1519.44	0
14.961	8	1	1	686.138	0
15.001	8	1	1	1620.51	0
15.041	8	1	1	1188.73	0
15.081	8	1	1	1375.07	0
15.121	8	1	1	1623.31	0
15.161	8	1	1	608.255	0
15.201	8	1	1	3082.29	0
15.241	8	1	1	2391.51	0
15.281	8	1	1	297.892	0
15.321	8	1	1	1197.11	0
15.361	8	1	1	175.822	0
