% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
3161	1	1	1	0	0	28	2196	0	1	1	0
3162	1	1	1	0	0	28	2196	0	1	1	0
3163	1	1	1	0	0	28	2196	0	1	1	0
3164	1	1	1	0	0	28	2196	0	1	1	0
3165	1	1	1	0	0	28	2196	0	1	1	0
3166	1	1	1	0	0	28	2196	0	1	1	0
3167	1	1	1	0	0	28	2196	0	1	1	0
3168	1	1	1	0	0	28	2196	0	1	1	0
3169	1	1	1	0	0	28	2196	0	1	1	0
3170	1	1	1	0	0	28	2196	0	1	1	0
3172	1	1	1	0	0	28	2196	0	1	1	0
3173	1	1	1	0	0	28	2196	0	1	1	0
3174	1	1	1	0	0	28	2196	0	1	1	0
3175	1	1	1	0	0	28	2196	0	1	1	0
3176	1	1	1	0	0	28	2196	0	1	1	0
3178	1	1	1	0	0	28	2196	0	1	1	0
3179	1	1	1	0	0	28	2196	0	1	1	0
3180	1	1	1	0	0	28	2196	0	1	1	0
3183	1	1	1	0	0	28	2196	0	1	1	0
3184	1	1	1	0	0	28	2196	0	1	1	0
3185	1	1	1	0	0	28	2196	0	1	1	0
3186	1	1	1	0	0	28	2196	0	1	1	0
3187	1	1	1	0	0	28	2196	0	1	1	0
3190	1	1	1	0	0	28	2196	0	1	1	0
3191	1	1	1	0	0	28	2196	0	1	1	0
3192	1	1	1	0	0	28	2196	0	1	1	0
3195	1	1	1	0	0	28	2196	0	1	1	0
3196	1	1	1	0	0	28	2196	0	1	1	0
3198	1	1	1	0	0	28	2196	0	1	1	0
3199	1	1	1	0	0	28	2196	0	1	1	0
3201	1	1	1	0	0	28	2196	0	1	1	0
3202	1	1	1	0	0	28	2196	0	1	1	0
3205	1	1	1	0	0	28	2196	0	1	1	0
3209	1	1	1	0	0	28	2196	0	1	1	0
3210	1	1	1	0	0	28	2196	0	1	1	0
3212	1	1	1	0	0	28	2196	0	1	1	0
3241	1	1	1	0	0	28	2196	0	1	1	0
3242	1	1	1	0	0	28	2196	0	1	1	0
3281	1	1	1	0	0	28	2196	0	1	1	0
3291	1	1	1	0	0	28	2196	0	1	1	0
3296	1	1	1	0	0	28	2196	0	1	1	0
3297	1	1	1	0	0	28	2196	0	1	1	0
3298	1	1	1	0	0	28	2196	0	1	1	0
3299	1	1	1	0	0	28	2196	0	1	1	0
3300	1	1	1	0	0	28	2196	0	1	1	0
3303	1	1	1	0	0	28	2196	0	1	1	0
3304	1	1	1	0	0	28	2196	0	1	1	0
3305	1	1	1	0	0	28	2196	0	1	1	0
3306	1	1	1	0	0	28	2196	0	1	1	0
3307	1	1	1	0	0	28	2196	0	1	1	0
3308	1	1	1	0	0	28	2196	0	1	1	0
3309	1	1	1	0	0	28	2196	0	1	1	0
3310	1	1	1	0	0	28	2196	0	1	1	0
3311	1	1	1	0	0	28	2196	0	1	1	0
3312	1	1	1	0	0	28	2196	0	1	1	0
3313	1	1	1	0	0	28	2196	0	1	1	0
3314	1	1	1	0	0	28	2196	0	1	1	0
3315	1	1	1	0	0	28	2196	0	1	1	0
3316	1	1	1	0	0	28	2196	0	1	1	0
3317	1	1	1	0	0	28	2196	0	1	1	0
3318	1	1	1	0	0	28	2196	0	1	1	0
3319	1	1	1	0	0	28	2196	0	1	1	0
3320	1	1	1	0	0	28	2196	0	1	1	0
3321	1	1	1	0	0	28	2196	0	1	1	0
3322	1	1	1	0	0	28	2196	0	1	1	0
3323	1	1	1	0	0	28	2196	0	1	1	0
3324	1	1	1	0	0	28	2196	0	1	1	0
3325	1	1	1	0	0	28	2196	0	1	1	0
3326	1	1	1	0	0	28	2196	0	1	1	0
3327	1	1	1	0	0	28	2196	0	1	1	0
3328	1	1	1	0	0	28	2196	0	1	1	0
3329	1	1	1	0	0	28	2196	0	1	1	0
3330	1	1	1	0	0	28	2196	0	1	1	0
3331	1	1	1	0	0	28	2196	0	1	1	0
3332	1	1	1	0	0	28	2196	0	1	1	0
3333	1	1	1	0	0	28	2196	0	1	1	0
3334	1	1	1	0	0	28	2196	0	1	1	0
3335	1	1	1	0	0	28	2196	0	1	1	0
3336	1	1	1	0	0	28	2196	0	1	1	0
3337	1	1	1	0	0	28	2196	0	1	1	0
3338	1	1	1	0	0	28	2196	0	1	1	0
3339	1	1	1	0	0	28	2196	0	1	1	0
3340	1	1	1	0	0	28	2196	0	1	1	0
3341	1	1	1	0	0	28	2196	0	1	1	0
3342	1	1	1	0	0	28	2196	0	1	1	0
3343	1	1	1	0	0	28	2196	0	1	1	0
3344	1	1	1	0	0	28	2196	0	1	1	0
3345	1	1	1	0	0	28	2196	0	1	1	0
3346	1	1	1	0	0	28	2196	0	1	1	0
3347	1	1	1	0	0	28	2196	0	1	1	0
3348	1	1	1	0	0	28	2196	0	1	1	0
3349	1	1	1	0	0	28	2196	0	1	1	0
3350	1	1	1	0	0	28	2196	0	1	1	0
3351	1	1	1	0	0	28	2196	0	1	1	0
3352	1	1	1	0	0	28	2196	0	1	1	0
3353	1	1	1	0	0	28	2196	0	1	1	0
3354	1	1	1	0	0	28	2196	0	1	1	0
3355	1	1	1	0	0	28	2196	0	1	1	0
3356	1	1	1	0	0	28	2196	0	1	1	0
3357	1	1	1	0	0	28	2196	0	1	1	0
3358	1	1	1	0	0	28	2196	0	1	1	0
3359	1	1	1	0	0	28	2196	0	1	1	0
3360	1	1	1	0	0	28	2196	0	1	1	0
3362	1	1	1	0	0	28	2196	0	1	1	0
3363	1	1	1	0	0	28	2196	0	1	1	0
3364	1	1	1	0	0	28	2196	0	1	1	0
3365	1	1	1	0	0	28	2196	0	1	1	0
3367	1	1	1	0	0	28	2196	0	1	1	0
3378	1	1	1	0	0	28	2196	0	1	1	0
3380	1	1	1	0	0	28	2196	0	1	1	0
3381	1	1	1	0	0	28	2196	0	1	1	0
3382	1	1	1	0	0	28	2196	0	1	1	0
3383	1	1	1	0	0	28	2196	0	1	1	0
3384	1	1	1	0	0	28	2196	0	1	1	0
3385	1	1	1	0	0	28	2196	0	1	1	0
3386	1	1	1	0	0	28	2196	0	1	1	0
3387	1	1	1	0	0	28	2196	0	1	1	0
3388	1	1	1	0	0	28	2196	0	1	1	0
3389	1	1	1	0	0	28	2196	0	1	1	0
3390	1	1	1	0	0	28	2196	0	1	1	0
3391	1	1	1	0	0	28	2196	0	1	1	0
3392	1	1	1	0	0	28	2196	0	1	1	0
3393	1	1	1	0	0	28	2196	0	1	1	0
3394	1	1	1	0	0	28	2196	0	1	1	0
3395	1	1	1	0	0	28	2196	0	1	1	0
3396	1	1	1	0	0	28	2196	0	1	1	0
3397	1	1	1	0	0	28	2196	0	1	1	0
3398	1	1	1	0	0	28	2196	0	1	1	0
3399	1	1	1	0	0	28	2196	0	1	1	0
3400	1	1	1	0	0	28	2196	0	1	1	0
3401	1	1	1	0	0	28	2196	0	1	1	0
3402	1	1	1	0	0	28	2196	0	1	1	0
3403	1	1	1	0	0	28	2196	0	1	1	0
3404	1	1	1	0	0	28	2196	0	1	1	0
3405	1	1	1	0	0	28	2196	0	1	1	0
3406	1	1	1	0	0	28	2196	0	1	1	0
3407	1	1	1	0	0	28	2196	0	1	1	0
3408	1	1	1	0	0	28	2196	0	1	1	0
3409	1	1	1	0	0	28	2196	0	1	1	0
3410	1	1	1	0	0	28	2196	0	1	1	0
3411	1	1	1	0	0	28	2196	0	1	1	0
3412	1	1	1	0	0	28	2196	0	1	1	0
3413	1	1	1	0	0	28	2196	0	1	1	0
